Country,Total,Per 1000
European Union - 27 countries (from 2020),4234490,9.43
Belgium,86435,7.31
Bulgaria,67540,10.48
Czechia,385190,35.34
Denmark,38915,6.53
Germany,1152620,13.81
Estonia,35115,25.55
Ireland,109180,20.43
Greece,32370,3.11
Spain,224290,4.61
France,59125,0.86
Croatia,25805,6.68
Italy,164410,2.79
Cyprus,22090,23.66
Latvia,47645,25.45
Lithuania,48010,16.64
Luxembourg,3835,5.71
Hungary,38890,4.06
Malta,2200,3.9
Netherlands,120550,6.72
Austria,84595,9.24
Poland,987925,26.98
Portugal,64780,6.09
Romania,177610,9.32
Slovenia,10110,4.76
Slovakia,130470,24.05
Finland,68780,12.27
Sweden,46000,4.36
Iceland,3970,9.96
Liechtenstein,700,17.44
Norway,78100,14.07
Switzerland,67445,7.53
